CITY,REGION,COUNTRY,IGNORE COLUMN AVERAGE RATING,IGNORE COLUMN TOTAL COST,VALUE SCORE,RANKING,AVG. HOTEL RATINGS (3 STAR),AVG. HOTEL PRICE PER NIGHT (3 STAR),LOCAL TRANSPORT COST (ONE WAY TICKET),"Cost of Meal for Two at a MidRange Restaurant (Three Courses, Without Drinks)",AVG. FLIGHT COST TO DESTINATION FROM UK,AVG. FLIGHT COST TO DESTINATION FROM USA,AVG. FLIGHT COST OVERALL,AVG. ATTRACTION PRICES,AVG. RESTAURANT RATINGS,AVG. ATTRACTION RATINGS
Bangkok,Asia,Thailand,3.86,612.46,0.006302,41,3.71,£37.00,1.06,31.77,£577.00,£453.00,£515.00,£27.63,4.31,3.56
Shanghai,Asia,China,4.41,703.3,0.006273,42,4.2,£57.00,0.38,25.11,£647.00,£472.00,£559.50,£61.31,4.5,4.54
Zurich,Europe,Switzerland,4.35,698.88,0.006229,43,3.89,£199.00,5,130.37,£99.00,£277.00,£188.00,£176.51,4.5,4.67
Amsterdam,Europe,Netherlands,4.21,682.86,0.006165,44,3.97,£193.00,3.4,80,£81.00,£557.00,£319.00,£87.46,4.56,4.1
Hong Kong,Asia,China,4.39,717.54,0.006122,45,3.83,£65.00,1.24,55.04,£584.00,£467.00,£525.50,£70.76,4.65,4.7
Copenhagen,Europe,Denmark,4.3,703.88,0.006107,46,4.12,£189.00,3.21,107.06,£34.00,£541.00,£287.50,£117.11,4.78,3.99
Toronto,North America,Canada,4.44,736.11,0.006032,47,4.06,£121.00,2.08,74.61,£315.00,£605.00,£460.00,£78.42,4.5,4.76
Rome,Europe,Italy,4.41,756.03,0.005829,48,3.89,£111.00,1.5,60,£61.00,£953.00,£507.00,£76.53,4.74,4.59
Venice,Europe,Italy,4.47,777.02,0.005746,49,4,£211.00,1.5,87.5,£45.00,£661.00,£353.00,£124.02,4.74,4.66
Dubai,Middle East,United Emirates,4.03,702.63,0.005737,50,4.29,£39.00,1.41,70.47,£388.00,£698.00,£543.00,£48.75,4.45,3.36
Edinburgh,Europe,United Kingdom,4.43,787.2,0.005626,51,4.06,£182.00,2.53,91.85,£30.00,£464.00,£247.00,£263.82,4.45,4.78
Cape Town,Africa,South Africa,4.31,768.73,0.005604,52,4.34,£102.00,0.95,40.99,£705.00,£475.00,£590.00,£34.79,4.65,3.94
Split,Europe,Croatia,4.53,819.2,0.005532,53,4.29,£124.00,1,68.5,£119.00,£982.00,£550.50,£75.20,4.45,4.86
Dublin,Europe,Ireland,4.45,808.34,0.005506,54,4.22,£165.00,2,90,£29.00,£491.00,£260.00,£291.34,4.45,4.69
Havana,Caribbean,Cuba,4.34,791.94,0.005481,55,4.01,£85.00,1.08,23.73,£634.00,£438.00,£536.00,£146.13,4.35,4.67
Oslo,Europe,Norway,4.36,800.52,0.005448,56,4.06,£221.00,3.91,106.64,£43.00,£491.00,£267.00,£201.97,4.4,4.63
Seoul,Asia,South Korea,4.44,826.79,0.005366,57,4.1,£118.00,0.88,51.32,£581.00,£569.00,£575.00,£81.59,4.63,4.58
Las Vegas,North America,USA,4.41,822.44,0.005366,58,4.1,£221.00,2.16,81.96,£524.00,£221.00,£372.50,£144.82,4.53,4.61
Santorini,Europe,Greece,4.29,809.06,0.005307,59,4.16,£93.00,2.4,78.1,£167.00,£907.00,£537.00,£98.56,4.6,4.12
Atlanta,North America,USA,4.02,759.66,0.005294,60,3.83,£101.00,2.16,86.28,£509.00,£491.00,£500.00,£70.22,4.35,3.89
Tromsø,Europe,Norway,4.18,798.17,0.005231,61,4.06,£120.00,4.27,71.09,£127.00,£754.00,£440.50,£162.31,4.25,4.22
Montreal,North America,Canada,4.42,855.04,0.005169,62,4.02,£147.00,2.33,62.17,£456.00,£610.00,£533.00,£110.54,4.6,4.64
Brisbane,Oceania,Australia,3.97,772.56,0.005139,63,3.84,£96.00,0.3,62.77,£905.00,£157.00,£531.00,£82.49,4.35,3.72
Kyoto,Asia,Japan,4.61,899.11,0.005122,64,4.25,£83.00,1.25,27.18,£709.00,£654.00,£681.50,£106.18,4.75,4.82
Melbourne,Oceania,Australia,4.48,874.19,0.00512,65,4.05,£116.00,3.29,71.74,£812.00,£323.00,£567.50,£115.66,4.65,4.73
Mexico City,North America,Mexico,4.55,903.38,0.005035,66,4.19,£109.00,0.31,47.2,£738.00,£607.00,£672.50,£74.37,4.74,4.72
Busan,Asia,South Korea,4.5,904.37,0.004978,67,4.29,£209.00,0.86,32.79,£737.00,£503.00,£620.00,£41.72,4.55,4.67
Geneva,Europe,Switzerland,4.36,886.2,0.004915,68,4.1,£181.00,3.26,124.94,£100.00,£411.00,£255.50,£321.50,4.4,4.57
New York,North America,USA,4.42,929.71,0.004757,69,4.09,£277.00,2.59,120.79,£395.00,£429.00,£412.00,£117.33,4.65,4.53
Austin,North America,USA,4.34,920.87,0.004713,70,4.14,£101.00,1.79,66.87,£610.00,£676.00,£643.00,£108.21,4.5,4.38
Buenos Aires,South America,Argentina,4.43,956.8,0.004629,71,4.11,£62.00,0.55,60.39,£935.00,£634.00,£784.50,£49.36,4.62,4.56
Cancun,North America,Mexico,4.1,904.73,0.004536,72,3.86,£63.00,0.58,48.41,£912.00,£532.00,£722.00,£70.74,4.34,4.11
Singapore,Asia,Malaysia,4.5,996.4,0.004516,73,4.17,£220.00,1.34,53.77,£967.00,£101.00,£534.00,£187.29,4.78,4.55
Monaco,Europe,Monaco,4.47,992.53,0.004505,74,4.13,£273.00,1.7,150,£155.00,£423.00,£289.00,£278.83,4.6,4.68
Rio de Janeiro,South America,Brazil,4.18,933.85,0.004478,75,4.11,£67.00,0.84,33.47,£810.00,£706.00,£758.00,£74.54,4.55,3.89
San Francisco,North America,USA,4.4,984.29,0.004465,76,4.15,£167.00,2.59,118.63,£592.00,£469.00,£530.50,£165.57,4.67,4.37
Miami,North America,USA,4.38,985.7,0.004446,77,4.03,£165.00,1.94,103.53,£629.00,£554.00,£591.50,£123.73,4.56,4.56
Bali,Asia,Indonesia,4.51,"1,058.33",0.004262,78,4.35,£88.00,0.23,25.17,£774.00,"£1,038.00",£906.00,£38.93,4.55,4.63
Chicago,North America,USA,4.24,995.4,0.004258,79,4.2,£297.00,2.16,86.28,£452.00,£543.00,£497.50,£112.46,4.55,3.97
Los Angeles,North America,USA,4.41,"1,068.27",0.004124,80,4,£236.00,1.73,86.28,£499.00,£702.00,£600.50,£143.76,4.55,4.67
New Orleans,North America,USA,4.48,"1,092.47",0.0041,81,4.06,£145.00,1.08,121.65,"£1,018.00",£518.00,£768.00,£56.74,4.65,4.73
Gold Coast,Oceania,Australia,4.33,"1,071.29",0.004045,82,4.01,£101.00,2.38,89.67,£996.00,£541.00,£768.50,£109.74,4.3,4.69
Stockholm,Europe,Sweden,4.23,"1,052.76",0.004013,83,3.87,£593.00,3.94,96.21,£85.00,£409.00,£247.00,£112.61,4.5,4.31
Sydney,Oceania,Australia,4.39,"1,101.59",0.003982,84,4.06,£121.00,3.35,79.93,£847.00,£635.00,£741.00,£156.31,4.55,4.55
Mykonos,Europe,Greece,4.58,"1,163.39",0.003937,85,4.47,£119.00,1.8,50,£100.00,"£1,576.00",£838.00,£154.59,4.5,4.78
Perth,Oceania,Australia,4.25,"1,081.26",0.003929,86,3.77,£89.00,2.24,73.23,£864.00,£656.00,£760.00,£156.79,4.4,4.58
Auckland,Oceania,New Zealand,3.93,"1,080.36",0.003641,87,3.71,£56.00,2.23,62.01,"£1,194.00",£443.00,£818.50,£141.62,4.4,3.69
Honolulu,Oceania,USA,4.47,"1,265.83",0.003532,88,4.16,£224.00,2.59,110.44,£854.00,£672.00,£763.00,£165.80,4.57,4.68
Byron Bay,Oceania,Australia,4.24,"1,345.50",0.00315,89,4.02,£128.00,4.78,62.77,"£1,568.00",£505.00,"£1,036.50",£113.45,4.4,4.3
Queenstown,Oceania,New Zealand,4.26,"1,460.97",0.002914,90,3.81,£84.00,1.24,70.69,"£1,936.00",£475.00,"£1,205.50",£99.54,4.4,4.56
Wellington,Oceania,New Zealand,4.15,"1,605.27",0.002582,91,3.9,£75.00,2.48,59.53,"£1,754.00",£970.00,"£1,362.00",£106.26,4.45,4.09
Sunshine Coast,Oceania,Australia,4.05,"1,611.53",0.002514,92,3.95,£132.00,1.26,59.78,"£2,076.00",£518.00,"£1,297.00",£121.49,4.24,3.97
